id,text,labels,group,split,genre_top,subset
2,Track: Food. Artist: AWOL. Album: AWOL - A Way Of Life. From New Jersey. Tags: awol.,Hip-Hop,AWOL,train,Hip-Hop,small
3,Track: Electric Ave. Artist: AWOL. Album: AWOL - A Way Of Life. From New Jersey. Tags: awol.,Hip-Hop,AWOL,train,Hip-Hop,medium
5,Track: This World. Artist: AWOL. Album: AWOL - A Way Of Life. From New Jersey. Tags: awol.,Hip-Hop,AWOL,train,Hip-Hop,small
10,"Track: Freeway. Artist: Kurt Vile. Album: Constant Hitmaker. Tags: philly, kurt vile.",Pop,Kurt Vile,train,Pop,small
134,Track: Street Music. Artist: AWOL. Album: AWOL - A Way Of Life. From New Jersey. Tags: awol.,Hip-Hop,AWOL,train,Hip-Hop,medium
136,Track: Peel Back The Mountain Sky. Artist: Abominog. Album: mp3. Tags: abominog.,Psych-Rock|Rock|Loud-Rock,Abominog,train,Rock,medium
139,"Track: CandyAss. Artist: Alec K. Redfearn & the Eyesores. Album: Every Man For Himself. From Providence, RI. Tags: alec k redfearn and the eyesores.",Folk,Alec K. Redfearn & the Eyesores,train,Folk,medium
140,"Track: Queen Of The Wires. Artist: Alec K. Redfearn & the Eyesores. Album: The Blind Spot. From Providence, RI. Tags: alec k redfearn and the eyesores.",Folk,Alec K. Redfearn & the Eyesores,train,Folk,small
141,"Track: Ohio. Artist: Alec K. Redfearn & the Eyesores. Album: Every Man For Himself. From Providence, RI. Tags: alec k redfearn and the eyesores.",Folk,Alec K. Redfearn & the Eyesores,train,Folk,small
148,"Track: Blackout 2. Artist: Contradiction. Album: Contradiction. From Chicago, IL. Tags: contradiction.",Avant-Garde|Experimental,Contradiction,val,Experimental,small
181,Track: Gopacapulco. Artist: Ariel Pink's Haunted Graffiti. Album: Scared Famous. Tags: ariel pinks haunted graffiti.,Lo-Fi|Rock,Ariel Pink's Haunted Graffiti,test,Rock,medium
182,Track: Jules Lost His Jewels. Artist: Ariel Pink's Haunted Graffiti. Album: Worn Copy. Tags: ariel pinks haunted graffiti.,Lo-Fi|Rock,Ariel Pink's Haunted Graffiti,test,Rock,small
190,"Track: Castle Of Stars. Artist: Ed Askew. Album: Blue Piano. From New York, NY. Tags: ed askew.",Folk,Ed Askew,train,Folk,small
193,"Track: Here With You. Artist: Ed Askew. Album: Blue Piano. From New York, NY. Tags: ed askew.",Folk,Ed Askew,train,Folk,small
194,"Track: All I want to Do. Artist: Ed Askew. Album: Blue Piano. From New York, NY. Tags: ed askew.",Folk,Ed Askew,train,Folk,small
197,"Track: Piano 2. Artist: Ed Askew. Album: Blue Piano. From New York, NY. Tags: ed askew.",Folk,Ed Askew,train,Folk,small
198,"Track: It Breaks My Heart. Artist: Ed Askew. Album: Blue Piano. From New York, NY. Tags: ed askew.",Folk,Ed Askew,train,Folk,medium
200,"Track: Baby Come Home. Artist: Ed Askew. Album: Blue Piano. From New York, NY. Tags: ed askew.",Folk,Ed Askew,train,Folk,small
203,"Track: Song For R. Artist: Ed Askew. Album: Blue Piano. From New York, NY. Tags: ed askew.",Folk,Ed Askew,train,Folk,small
204,"Track: My Dream. Artist: Ed Askew. Album: Blue Piano. From New York, NY. Tags: ed askew.",Folk,Ed Askew,train,Folk,small
207,"Track: Piano 3. Artist: Ed Askew. Album: Blue Piano. From New York, NY. Tags: ed askew.",Folk,Ed Askew,train,Folk,small
208,"Track: Safe Harbor. Artist: Ed Askew. Album: Blue Piano. From New York, NY. Tags: ed askew.",Folk,Ed Askew,train,Folk,medium
209,"Track: Safe Harbor. Artist: Ed Askew. Album: Blue Piano. From New York, NY. Tags: ed askew.",Folk,Ed Askew,train,Folk,medium
210,"Track: In the French Court. Artist: Ed Askew. Album: Blue Piano. From New York, NY. Tags: ed askew.",Folk,Ed Askew,train,Folk,small
211,"Track: In America. Artist: Ed Askew. Album: Blue Piano. From New York, NY. Tags: ed askew.",Folk,Ed Askew,train,Folk,small
212,"Track: When I Arive. Artist: Ed Askew. Album: Blue Piano. From New York, NY. Tags: ed askew.",Folk,Ed Askew,train,Folk,small
213,"Track: Boute. Artist: Au. Album: Au. From Portland, OR. Tags: au.",Pop,Au,train,Pop,small
237,"Track: Garbage and (Garbage and Fire). Artist: Barnacled. Album: 6. From Providence, RI. Tags: barnacled.",Jazz,Barnacled,train,Jazz,medium
247,"Track: A New Map for Kissing. Artist: Bird Names. Album: On Opaque Things. Tags: athens ga, bird names, athens, vermont, chicago, fun, brattleboro.",Rock,Bird Names,train,Rock,medium
249,"Track: The Indefinite Time Yet to Come. Artist: Bird Names. Album: On Opaque Things. Tags: athens ga, bird names, athens, vermont, chicago, fun, brattleboro.",Rock,Bird Names,train,Rock,medium
255,"Track: We Want to be Old. Artist: Bird Names. Album: On Opaque Things. Tags: athens ga, bird names, athens, vermont, chicago, fun, brattleboro.",Rock,Bird Names,train,Rock,small
256,"Track: Toggle. Artist: Black Elk. Album: Black Elk. From Portland, OR. Tags: black elk.",Rock|Metal,Black Elk,train,Rock,small
257,"Track: My Lil'. Artist: Black Elk. Album: Black Elk. From Portland, OR. Tags: black elk.",Rock|Metal,Black Elk,train,Rock,medium
258,"Track: Eyebone. Artist: Black Elk. Album: Black Elk. From Portland, OR. Tags: black elk.",Rock|Metal,Black Elk,train,Rock,medium
341,"Track: Count Dracula's castle. Artist: Blah Blah Blah. Album: 30th Anniversary Blah Blah Blah. From Colchester UK. Tags: blah blah blah, chris andrews.",Post-Punk|Rock|Punk,Blah Blah Blah,train,Rock,medium
343,"Track: Cybernetics. Artist: Blah Blah Blah. Album: 30th Anniversary Blah Blah Blah. From Colchester UK. Tags: blah blah blah, chris andrews.",Post-Punk|Rock|Punk,Blah Blah Blah,train,Rock,medium
352,"Track: In Arabia. Artist: Blah Blah Blah. Album: 30th Anniversary Blah Blah Blah. From Colchester UK. Tags: blah blah blah, chris andrews.",Post-Punk|Rock|Punk,Blah Blah Blah,train,Rock,medium
368,"Track: Vampires. Artist: Blah Blah Blah. Album: 30th Anniversary Blah Blah Blah. From Colchester UK. Tags: blah blah blah, chris andrews.",Post-Punk|Rock|Punk,Blah Blah Blah,train,Rock,small
369,"Track: Whistle while you work. Artist: Blah Blah Blah. Album: 30th Anniversary Blah Blah Blah. From Colchester UK. Tags: blah blah blah, chris andrews.",Post-Punk|Rock|Punk,Blah Blah Blah,train,Rock,medium
397,"Track: The Tides Of Land. Artist: Borful Tang. Album: On the Back of a Dying Beast: Volume 1. From San Francisco, CA. Tags: borful tang.",Electronic,Borful Tang,train,Electronic,medium
398,"Track: Borful Tang Loves Nomeansno. Artist: Borful Tang. Album: Root. From San Francisco, CA. Tags: borful tang.",Electronic,Borful Tang,train,Electronic,medium
399,"Track: ELI. Artist: Borful Tang. Album: Root. From San Francisco, CA. Tags: borful tang.",Electronic,Borful Tang,train,Electronic,medium
400,"Track: Electronic Interlude VI. Artist: Borful Tang. Album: On the Back of a Dying Beast: Volume 1. From San Francisco, CA. Tags: borful tang.",Electronic,Borful Tang,train,Electronic,medium
405,"Track: Majestic Shuffle. Artist: Borful Tang. Album: Root. From San Francisco, CA. Tags: borful tang.",Electronic,Borful Tang,train,Electronic,medium
414,"Track: John And Mary - The Restaurant. Artist: Borful Tang. Album: Root. From San Francisco, CA. Tags: borful tang.",Electronic,Borful Tang,train,Electronic,medium
424,Track: The Ambient Honky. Artist: Brian Joseph Davis. Album: The Definitive Host. Tags: brian joseph davis.,Avant-Garde|Experimental,Brian Joseph Davis,train,Experimental,small
425,Track: Track5. Artist: Brian Joseph Davis. Album: Original Soundtrack: Work for 20 DVD Players. Tags: brian joseph davis.,Avant-Garde|Experimental,Brian Joseph Davis,train,Experimental,medium
458,"Track: Hunt Like Devil 4. Artist: CAVE. Album: Hunt Like Devil EP. From Chicago, IL. Tags: cave, chicago.",Rock,CAVE,val,Rock,medium
459,"Track: Machines and Muscles. Artist: CAVE. Album: Butthash. From Chicago, IL. Tags: cave, chicago.",Rock,CAVE,val,Rock,small
512,"Track: """". Artist: Celesteville. Album: Lingua Ignota. From Portland, OR. Tags: celesteville.",Lo-Fi|Rock,Celesteville,train,Rock,medium
534,Track: I Can See You. Artist: Charles Manson. Album: One Mind. From San Qunetin. Tags: charles manson.,Folk,Charles Manson,train,Folk,small
535,Track: Angels Fear To Tread. Artist: Charles Manson. Album: One Mind. From San Qunetin. Tags: charles manson.,Folk,Charles Manson,train,Folk,medium
536,Track: Riding On Your Fears. Artist: Charles Manson. Album: One Mind. From San Qunetin. Tags: charles manson.,Folk,Charles Manson,train,Folk,medium
537,Track: I Don't Need Water Sprinklers In The Desert. Artist: Charles Manson. Album: One Mind. From San Qunetin. Tags: charles manson.,Folk,Charles Manson,train,Folk,medium
540,Track: The Black Pirate. Artist: Charles Manson. Album: One Mind. From San Qunetin. Tags: charles manson.,Folk,Charles Manson,train,Folk,small
546,Track: If You Have No One. Artist: Charles Manson. Album: One Mind. From San Qunetin. Tags: charles manson.,Folk,Charles Manson,train,Folk,small
550,"Track: Cello Duet No. 1. Artist: Chief Boima. Album: Unreleased. From San Francisco, CA. Tags: san francisco, chief boima.",Electronic,Chief Boima,train,Electronic,medium
564,"Track: The Sugar Society. Artist: Cinwaves. Album: Cinwaves. From Deerfield Beach, FL. Tags: cinwaves.",Rock,Cinwaves,test,Rock,medium
573,"Track: When My Ship Comes In. Artist: Clockcleaner. Album: Babylon Rules. Tags: philadelphia, clockcleaner.",Punk|Rock,Clockcleaner,train,Rock,medium
574,"Track: Caliente Queen. Artist: Clockcleaner. Album: Babylon Rules. Tags: philadelphia, clockcleaner.",Punk|Rock,Clockcleaner,train,Rock,small
583,"Track: WAR (If It Feels Good, Do It!). Artist: DJ's of Mass Destruction. Album: WAR (If It Feels Good, Do It!). From San Francisco, CA. Tags: djs of mass destruction.",Hip-Hop,DJ's of Mass Destruction,val,Hip-Hop,medium
584,"Track: Liberate The Children (Live). Artist: DJ's of Mass Destruction. Album: WAR (If It Feels Good, Do It!). From San Francisco, CA. Tags: djs of mass destruction.",Hip-Hop,DJ's of Mass Destruction,val,Hip-Hop,medium
585,"Track: Weapons? What Weapons of Mass Destruction? (Live). Artist: DJ's of Mass Destruction. Album: WAR (If It Feels Good, Do It!). From San Francisco, CA. Tags: djs of mass destruction.",Hip-Hop,DJ's of Mass Destruction,val,Hip-Hop,medium
590,"Track: Stuck. Artist: Delta Dreambox. Album: Finally Here. From Brooklyn, NY. Tags: delta dreambox.",Jazz,Delta Dreambox,train,Jazz,medium
591,"Track: Without A Sound. Artist: Delta Dreambox. Album: Finally Here. From Brooklyn, NY. Tags: delta dreambox.",Jazz,Delta Dreambox,train,Jazz,medium
592,"Track: Song X. Artist: Delta Dreambox. Album: Finally Here. From Brooklyn, NY. Tags: delta dreambox.",Jazz,Delta Dreambox,train,Jazz,medium
593,"Track: Finally Here. Artist: Delta Dreambox. Album: Finally Here. From Brooklyn, NY. Tags: delta dreambox.",Jazz,Delta Dreambox,train,Jazz,medium
602,Track: Disappearing. Artist: Dora Bleu. Album: Clones of Eros. Tags: dora bleu.,Folk,Dora Bleu,val,Folk,small
603,Track: Lover of Nightmares. Artist: Dora Bleu. Album: Clones of Eros. Tags: dora bleu.,Folk,Dora Bleu,val,Folk,medium
605,"Track: I Was So Bored I Wanted To Hang Myself On The Dancefloor. Artist: Double Dagger. Album: Double Dagger. Tags: baltimore, double dagger.",Rock,Double Dagger,train,Rock,medium
608,"Track: Punk Rock vs. Swiss Modernism. Artist: Double Dagger. Album: Double Dagger. Tags: baltimore, double dagger.",Rock,Double Dagger,train,Rock,medium
615,"Track: Immaterial, side A. Artist: EKG. Album: Immaterial. From Chicago, IL. Tags: ekg.",Electroacoustic|Experimental,EKG,train,Experimental,small
