id,text,labels,group,split,mp3_path
2,Artist: american bach soloists. Album: j s bach solo cantatas. Track: 01 bwv54 i aria. Excerpt 30-59 seconds.,classical|strings|violin|opera,american bach soloists,test,f/american_bach_soloists-j_s__bach_solo_cantatas-01-bwv54__i_aria-30-59.mp3
6,Artist: american bach soloists. Album: j s bach solo cantatas. Track: 01 bwv54 i aria. Excerpt 146-175 seconds.,classical|strings|violin|opera|baroque,american bach soloists,test,f/american_bach_soloists-j_s__bach_solo_cantatas-01-bwv54__i_aria-146-175.mp3
10,Artist: american bach soloists. Album: j s bach solo cantatas. Track: 01 bwv54 i aria. Excerpt 262-291 seconds.,classical|opera,american bach soloists,test,f/american_bach_soloists-j_s__bach_solo_cantatas-01-bwv54__i_aria-262-291.mp3
11,Artist: american bach soloists. Album: j s bach solo cantatas. Track: 01 bwv54 i aria. Excerpt 291-320 seconds.,opera|quiet,american bach soloists,test,f/american_bach_soloists-j_s__bach_solo_cantatas-01-bwv54__i_aria-291-320.mp3
12,Artist: american bach soloists. Album: j s bach solo cantatas. Track: 01 bwv54 i aria. Excerpt 320-349 seconds.,classical|strings|violin,american bach soloists,test,f/american_bach_soloists-j_s__bach_solo_cantatas-01-bwv54__i_aria-320-349.mp3
14,Artist: lvx nova. Album: lvx nova. Track: 01 contimune. Excerpt 30-59 seconds.,techno,lvx nova,val,c/lvx_nova-lvx_nova-01-contimune-30-59.mp3
21,Artist: lvx nova. Album: lvx nova. Track: 01 contimune. Excerpt 233-262 seconds.,electronic|rock|fast,lvx nova,val,c/lvx_nova-lvx_nova-01-contimune-233-262.mp3
23,Artist: lvx nova. Album: lvx nova. Track: 01 contimune. Excerpt 291-320 seconds.,fast,lvx nova,val,c/lvx_nova-lvx_nova-01-contimune-291-320.mp3
29,Artist: american bach soloists. Album: j s bach cantatas volume v. Track: 01 gleichwie der regen und schnee vom himmel fallt bwv 18 i sinfonia. Excerpt 117-146 seconds.,classical|violin,american bach soloists,train,0/american_bach_soloists-j_s__bach__cantatas_volume_v-01-gleichwie_der_regen_und_schnee_vom_himmel_fallt_bwv_18_i_sinfonia-117-146.mp3
32,Artist: steven devine. Album: portrait of an english harpsichord. Track: 01 lesson 1 in g major prelude james nares. Excerpt 0-29 seconds.,guitar,steven devine,test,e/steven_devine-portrait_of_an_english_harpsichord-01-lesson_1_in_g_major_prelude_james_nares-0-29.mp3
